1,1
1,4
1,7
1,10
1,13
1,16
1,19
1,22
1,25
1,28
1,31
1,34
2,11
2,13
2,15
2,17
2,19
2,21
2,23
2,25
2,27
2,29
2,31
2,33
3,12
3,24
3,36
3,48
3,50
4,1
4,2
4,3
4,4
4,5
4,6
4,12
4,13
4,14
4,39
5,8
5,9
5,15
5,16
5,20
5,21
5,23
5,25
5,27
5,29
5,31
5,33
5,35
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
6,1
6,2
6,3
6,4
6,5
6,6
7,1
7,3
7,5
7,9
7,10
7,12
7,15
8,2
8,5
8,8
8,10
8,12
8,14
8,16
8,18
8,20
8,22
8,24
8,26
8,28
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,21
9,32
9,33
10,10
10,12
10,14
10,16
10,18
10,20
10,22
10,24
10,26
10,28
10,30
10,32
10,34
10,36
10,38
